"start_time","miles","time","hours","mph","hr","kcal","min_temp","max_temp"
"2013-11-27 06:22:13",4.17,"0:35:11",0.59,7.12,157.8,518.4,-1.1,1
"2013-11-27 15:27:01",4.11,"0:35:49",0.6,6.89,156,513.6,1.1,2.2
"2013-12-01 12:29:27",4.79,"0:55:08",0.92,5.21,172.6,951.5,-25.9,-23.9
"2013-12-03 06:21:49",4.19,"0:39:16",0.65,6.4,148.4,526.8,-4.6,-2.1
"2013-12-03 15:41:48",4.22,"0:30:56",0.52,8.19,154.6,434.5,6,7.9
"2013-12-05 06:31:54",4.14,"0:32:14",0.54,7.71,155.8,463.2,-1.6,2.9
"2013-12-05 15:24:10",4.18,"0:29:07",0.49,8.6,150.7,393.5,9.7,12
"2013-12-06 06:39:04",4.15,"0:28:31",0.48,8.74,146.1,370.9,21.8,23.2
"2013-12-06 16:38:31",4.17,"0:26:04",0.43,9.6,154.3,369.6,23.3,24.7
"2013-12-09 06:31:11",0.53,"0:06:08",0.1,5.15,NA,79,29.5,29.6
"2013-12-09 06:41:07",4.13,"0:40:36",0.68,6.1,155.3,595.5,29.5,30.8
"2013-12-09 13:44:59",4.11,"0:32:06",0.54,7.69,161.3,489.9,27.5,28.5
"2013-12-11 06:15:32",4.19,"0:39:00",0.65,6.45,155.1,561.3,1.8,4.3
"2013-12-11 16:00:11",4.19,"0:33:48",0.56,7.44,157.6,495.1,2.1,4.5
"2013-12-13 06:14:59",4.2,"0:39:23",0.66,6.4,159.8,590.8,-8.5,-3.1
"2013-12-13 16:21:03",4.18,"0:37:49",0.63,6.63,159.5,568.8,-16.6,-5.6
"2013-12-17 06:22:29",4.17,"0:37:25",0.62,6.69,157.2,547.7,-20.3,-17.6
"2013-12-17 16:46:32",4.17,"0:32:24",0.54,7.73,157.5,474.9,-13,-10.4
"2013-12-18 06:22:09",4.15,"0:32:27",0.54,7.67,141.4,397.6,-4.4,-1.1
"2013-12-18 15:14:53",4.19,"0:32:39",0.54,7.71,154.8,466.4,-17.2,-9.7
"2013-12-19 06:18:28",4.12,"0:30:21",0.51,8.14,139.9,360.5,-4.7,-1
"2013-12-19 15:50:27",4.2,"0:28:52",0.48,8.74,144.7,364.7,-3.1,-1.1
"2013-12-20 06:30:43",4.07,"0:28:57",0.48,8.44,145.2,350.3,-5.3,-1.5
"2013-12-20 17:32:04",4.19,"0:28:34",0.48,8.8,151.2,394,-7.8,-0.3
"2013-12-29 13:46:45",8.32,"1:29:25",1.49,5.58,160.5,1361.3,-16,-1
"2014-01-02 06:05:29",4.2,"0:30:36",0.51,8.24,149.1,408.8,-0.1,4.8
"2014-01-02 11:19:00",4.17,"0:27:15",0.45,9.18,151.4,372.7,4.4,7.3
"2014-01-03 06:15:08",4.17,"0:30:19",0.51,8.25,143.9,385.1,4.2,7.6
"2014-01-03 15:53:35",4.15,"0:26:24",0.44,9.44,146.1,342.5,9.6,11.7
"2014-01-06 06:15:21",4.12,"0:31:48",0.53,7.78,141.7,393.5,2.1,7.8
"2014-01-06 15:43:04",4.01,"0:27:36",0.46,8.72,147,338,15,19.6
"2014-01-07 06:15:37",4.14,"0:31:33",0.53,7.87,146,409.2,-6.8,-1.4
"2014-01-07 10:36:39",4.21,"0:27:54",0.47,9.05,154,390.2,-5.3,0.1
